# instance seed max_iter_dynamic    max_time    algorithm   selected_random_node    beta    max_iter_random alpha   percentage  n_type_nodes    max_dist    max_vehicles    time    mean_of mean_dynamic_of
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.4;200.0;2;16.566579818725586;731.0;293.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.5;200.0;2;17.349122524261475;763.0;446.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.6;200.0;2;16.398491382598877;799.0;357.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.7;200.0;2;17.43566632270813;781.0;336.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.8;200.0;2;17.370699167251587;788.0;361.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.9;200.0;2;17.289565324783325;781.0;382.0
Set_102_234\p7.2.t.txt;2523461;1;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;1000;0.8;0.5;5;0.999;200.0;2;17.965513229370117;673.0;428.0
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.7;0.5;5;0.7;200.0;2;87.2913646697998;694.666;404.742
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.7;0.5;5;0.7;200.0;2;8.548870325088501;719.42;404.98
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.6;200.0;2;165.72822499275208;741.09;370.53
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;170.231507062912;750.29;369.41
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.8;200.0;2;169.21335625648499;752.06;376.99
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;9.029000759124756;760.24;402.76
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.7;0.5;5;0.7;200.0;2;8.864699840545654;722.29;413.08
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.6;200.0;2;161.0797986984253;743.46;372.19
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;162.12491154670715;751.54;374.83
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.8;0.5;5;0.7;200.0;2;8.835654497146606;777.75;414.53
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;MEDIUMTEST;100;0.7;0.5;5;0.7;200.0;2;8.97457242012024;689.84;390.8
